scientific_name,common_name,genus,img_url
Calendula stellata Cav.,Calendula,Calendula,https://bs.plantnet.org/image/o/730a73d3fbd529e564d2075675eab4a555d3c572
Carthamus caeruleus L.,Carthamus,Carduncellus,https://bs.plantnet.org/image/o/d9e05b0537b2a1c1764fa6eaad9ce4afba7631e5
Carthamus lanatus L.,Carthamus,Carthamus,https://bs.plantnet.org/image/o/d514497295bad865c7ad09fc9a1fd57ed94ce6c8
Cirsium monspessulanum (L.) Hill,Cirsium,Cirsium,https://bs.plantnet.org/image/o/2a210377411ec7a9d125bc4c9ae32d1e52954ae7
Helminthotheca echioides (L.) Holub,,,
Hyoseris radiata L.,Hyoseris,Hyoseris,https://bs.plantnet.org/image/o/43b843916c9ed0f5bf6e31b8330d387bd3b56ab1
Lactuca muralis (L.) Gaertn.,Lactuca,Mycelis,https://bs.plantnet.org/image/o/2dfabf13354e4999831df93c333927cafa433647
Lactuca saligna L.,Lactuca,Lactuca,https://bs.plantnet.org/image/o/bca18ed28ad260f2191f130458e3a6b9706e85df
Lactuca tenerrima Pourr.,Lactuca,Lactuca,https://bs.plantnet.org/image/o/ac283f20c94cb1f2fd4394672771233fb20fd26c
Limbarda crithmoides (L.) Dumort.,,,
Sedum acre L.,Sedum,Sedum,https://bs.plantnet.org/image/o/93cdc8feb3b8083c0c7799e5d3ca2b529dd0eab7
Sedum album L.,Sedum,Sedum,https://bs.plantnet.org/image/o/014f1bfbd858426c1ec64f652bed0ccb1c802bdc
Sedum amplexicaule DC.,,,
Sedum andegavense (DC.) Desv.,Sedum,Sedum,https://bs.plantnet.org/image/o/a8d6302a817992f18ca5492a8bf554f7f057f88e
Sedum brevifolium DC.,Sedum,Sedum,https://bs.plantnet.org/image/o/078aa9f85c99d202b29371e48bdd4ff7e9c1afbf
Sedum caeruleum L.,Sedum,Sedum,https://bs.plantnet.org/image/o/64bddcd5f179432f28fafc4383a2edc37959559e
Sedum caespitosum (Cav.) DC.,,,
Sedum cepaea L.,Sedum,Sedum,https://bs.plantnet.org/image/o/511728c4d0510377a2261f5cde4067311d31186b
Sedum dasyphyllum L.,Sedum,Sedum,https://bs.plantnet.org/image/o/b256c1aa392a0428b839ded6b75017f2c7537f6d
Sedum forsterianum Sm.,,,
Sedum hirsutum All.,Sedum,Sedum,https://bs.plantnet.org/image/o/66bd98a78a2c61f9c3a831e99c184de9b954645f
Sedum litoreum Guss.,Sedum,Sedum,https://bs.plantnet.org/image/o/fc8bff095ab597a8a6b3e9e46b8d88397bfcf4a9
Sedum multiceps Coss. & Durieu,Sedum,Sedum,https://bs.plantnet.org/image/o/bc17ed4ee98117bcae8f3be7c3ca28966e6687f0
Sedum rubens L.,Sedum,Sedum,https://bs.plantnet.org/image/o/28e55da40afffe3820d0904e2fbb62dd61c0042b
Sedum sediforme (Jacq.) Pau,,,
Alliaria petiolata (M. Bieb.) Cavara & Grande,,,
Boscia angustifolia A. Rich.,,,
Fibigia clypeata (L.) Medik.,Fibigia,Fibigia,https://bs.plantnet.org/image/o/d39d15e4c7a8dfa8e80a45496b301b8ed96844cf
Maerua angolensis DC.,Maerua,Maerua,https://bs.plantnet.org/image/o/177aa3022d5be072972fe204b0cedb6b57396e33
Acalypha virginica L.,Acalypha,Acalypha,https://bs.plantnet.org/image/o/87f220b049f9de53f1e3155604ee48b7a5821bd5
Mercurialis perennis L.,Mercurialis,Mercurialis,https://bs.plantnet.org/image/o/3518ee7847dc16ba0dba8718a4fa800513b748d9
Phyllanthus reticulatus Poir.,Phyllanthus,Phyllanthus,https://bs.plantnet.org/image/o/fd216a355a5865c21f4db99ce2bd5ba0386c9fb0
Hypericum androsaemum L.,Hypericum,Hypericum,https://bs.plantnet.org/image/o/df6a29670f139bf8f85b87a98158a53ab3babd20
Hypericum australe Ten.,Hypericum,Hypericum,https://bs.plantnet.org/image/o/15c638fedf3de81a4ec71cdcd0b846a2404d757e
Hypericum canariense L.,Hypericum,Hypericum,https://bs.plantnet.org/image/o/d494a4964bed0b428ffe9704241410b0dea283eb
Hypericum empetrifolium Willd.,Hypericum,Hypericum,https://bs.plantnet.org/image/o/d1a740d9d3808e8ce4f404b1060ca25ac7d3fdb2
Hypericum hircinum L.,Hypericum,Hypericum,https://bs.plantnet.org/image/o/ac3a1de7b7e26cad57509118539c5a45912d3546
Hypericum hirsutum L.,Hypericum,Hypericum,https://bs.plantnet.org/image/o/01ea5e2f5abce71dc15e7c9f0df1bf2d0f41357c
Hypericum humifusum L.,Hypericum,Hypericum,https://bs.plantnet.org/image/o/ec7ada581964e2a87515fd6849a83c9cd303ee16
Hypericum linariifolium Vahl,Hypericum,Hypericum,https://bs.plantnet.org/image/o/51c9ff80cbf7e30718480f2d0acbcd1ee2e97693
Hypericum montanum L.,Hypericum,Hypericum,https://bs.plantnet.org/image/o/62d42e0bc206719efa0501bdd4f82b90d64e1852
Hypericum perfoliatum L.,Hypericum,Hypericum,https://bs.plantnet.org/image/o/a62e5af3c7521ab3f8d082fef02fa67ed00499c7
Hypericum tetrapterum Fr.,Hypericum,Hypericum,https://bs.plantnet.org/image/o/3232fa11df7204b9dea7402bea77cb856b7eb1e0
Hypericum tomentosum L.,Hypericum,Hypericum,https://bs.plantnet.org/image/o/0b868d73cf972d7dcdb105919e8062d244fc7554
Lamium bifidum Cirillo,Lamium,Lamium,https://bs.plantnet.org/image/o/a1eba0999309b0e89ddc7914e08ac5e0441bfa3c
Lamium flexuosum Ten.,Lamium,Lamium,https://bs.plantnet.org/image/o/394ef17556b55bfbeb2b5c911ac4379df0623fec
Lamium garganicum L.,Lamium,Lamium,https://bs.plantnet.org/image/o/0453d08f18c61a4a378dcda05b5afd861b1d6dae
Lamium hybridum Vill.,,,
Lamium purpureum L.,Lamium,Lamium,https://bs.plantnet.org/image/o/21938e4efb9408f9f48ebdd7dbac1a1dd17c550c
Lavandula canariensis Mill.,Lavandula,Lavandula,https://bs.plantnet.org/image/o/a907dfd9cc0a6753f6cdc66b22f398ee213e8182
Lavandula minutolii Bolle,Lavandula,Lavandula,https://bs.plantnet.org/image/o/fb8792a96fcd92bd7ee7825e0a9e5632352e29e7
Lavandula multifida L.,Lavandula,Lavandula,https://bs.plantnet.org/image/o/5f51536ad697ff3cbba3bdaec3c34e88569af459
Lavandula stoechas L.,Lavandula,Lavandula,https://bs.plantnet.org/image/o/05d48b19566ca6ef12e35200fa6d7ed5dde0134a
Acacia mellifera (Vahl) Benth.,,,
Acacia seyal Delile,,,
Acacia tortilis (Forssk.) Hayne,,,
Galega officinalis L.,Galega,Galega,https://bs.plantnet.org/image/o/969e7200c327fc66f2c124758ab4fd9f1594c22c
Lupinus cosentinii Guss.,Lupinus,Lupinus,https://bs.plantnet.org/image/o/cd26a90b692a016409e3aeac6c87b60a2dc7df54
Lupinus micranthus Guss.,,,
Melilotus italicus (L.) Lam.,Melilotus,Melilotus,https://bs.plantnet.org/image/o/4ffd0e40ee5c2f9fa4b0317f82959b03a9b23acf
Melilotus sulcatus Desf.,Melilotus,Melilotus,https://bs.plantnet.org/image/o/ea1e8d0d3f56c0422c855db4e3ce016c1316a511
Trifolium angustifolium L.,Trifolium,Trifolium,https://bs.plantnet.org/image/o/2239734f96c92ea2d1bdf7bd6bbfe139729fa15a
Trifolium arvense L.,Trifolium,Trifolium,https://bs.plantnet.org/image/o/439d172fa2f89bdcd6da048c05db0a5c5e3f1565
Trifolium aureum Pollich,Trifolium,Trifolium,https://bs.plantnet.org/image/o/e51d07bd11989555b91a9fb0ce4d7ef08aa7f115
Trifolium campestre Schreb.,Trifolium,Trifolium,https://bs.plantnet.org/image/o/d7ddde129346d12c65123ecdbd08c7334c5f3f4b
Trifolium cherleri L.,Trifolium,Trifolium,https://bs.plantnet.org/image/o/d3933ab5cc0bdcee772d3d11ef1f4634ef1e5d23
Trifolium hirtum All.,Trifolium,Trifolium,https://bs.plantnet.org/image/o/e34d1c8468e9beb3112a8b22ad27be5036358845
Trifolium hybridum L.,Trifolium,Trifolium,https://bs.plantnet.org/image/o/0e5a24c82066c7b56e2a104853989f8007a4a043
Trifolium incarnatum L.,Trifolium,Trifolium,https://bs.plantnet.org/image/o/47a2cb1497ceb4e054119db38452206c5adc32db
Trifolium lappaceum L.,Trifolium,Trifolium,https://bs.plantnet.org/image/o/cb15ab66f872e209118b14f402ef37f92bc5e24f
Trifolium michelianum Savi,,,
Trifolium micranthum Viv.,Trifolium,Trifolium,https://bs.plantnet.org/image/o/cb6338a5a1c1084b66879b4a875e40b76aa02172
Trifolium montanum L.,Trifolium,Trifolium,https://bs.plantnet.org/image/o/f2e62075a1d38a06a10fe94f4452d4dfd401b5a5
Trifolium ochroleucon Huds.,Trifolium,Trifolium,https://bs.plantnet.org/image/o/7d45bb5d1fb4965b1a7d545c4df33faf0f3fa572
Trifolium pannonicum Jacq.,Trifolium,Trifolium,https://bs.plantnet.org/image/o/0f2abecd199e4dce0d78e10ec4295d116a090a9e
Trifolium patens Schreb.,Trifolium,Trifolium,https://bs.plantnet.org/image/o/c678021fa3557c685ca330d8d80382ef46359f3d
Trifolium pratense L.,Trifolium,Trifolium,https://bs.plantnet.org/image/o/2fceef9782c7469d00d12fa4deb456963a3a3530
Trifolium purpureum Loisel.,Trifolium,Trifolium,https://bs.plantnet.org/image/o/58df995cff0c3b080681f349061332fd039b2eee
Trifolium resupinatum L.,Trifolium,Trifolium,https://bs.plantnet.org/image/o/16e36b93eedd778743162913ed23a188ddd9bc96
Trifolium scabrum L.,Trifolium,Trifolium,https://bs.plantnet.org/image/o/416e33e695f8ef31f04d6252fdd82fbde9723b55
Trifolium spumosum L.,Trifolium,Trifolium,https://bs.plantnet.org/image/o/70b3fb7c8a1dd06d4c390fea4d7b29af3d7ebc5c
Trifolium squamosum L.,Trifolium,Trifolium,https://bs.plantnet.org/image/o/7b3324e7790fb360dc37604fcd91017272b2957f
Trifolium stellatum L.,Trifolium,Trifolium,https://bs.plantnet.org/image/o/4fc48d2bdbef267847633fc5d73a055ead29e1ad
Trifolium striatum L.,Trifolium,Trifolium,https://bs.plantnet.org/image/o/ae270b9fe82d10e71869d863103338722d3d2c1f
Trifolium subterraneum L.,Trifolium,Trifolium,https://bs.plantnet.org/image/o/954ae4fbe0e2cae08975ac65590f39f0d11b561a
Trifolium tomentosum L.,Trifolium,Trifolium,https://bs.plantnet.org/image/o/cc6bf1d4c54fcfb1ad90fae71cb1103d9c66b64e
Punica granatum L.,Punica,Punica,https://bs.plantnet.org/image/o/5ed5a00d6acd3ceae8dafbabe44e8340389aef7a
Alcea rosea L.,Alcea,Alcea,https://bs.plantnet.org/image/o/bd8b84d53e9f1e63d991be9459e6c5e7f909baa9
Althaea cannabina L.,Althaea,Althaea,https://bs.plantnet.org/image/o/da7484fdd3b8b9e351a58e03fd57719003b6911e
Althaea officinalis L.,Althaea,Althaea,https://bs.plantnet.org/image/o/41323c068cc3c049515f6afd5db7f87e10a2c828
Nymphaea alba L.,Nymphaea,Nymphaea,https://bs.plantnet.org/image/o/a7df1d9de863d7b0e677931f43642014c4db51ca
Hunnemannia fumariifolia Sweet,Hunnemannia,Hunnemannia,https://bs.plantnet.org/image/o/9b1ff7d15ade5cd496a59fa02649adf8b8c101e3
Papaver atlanticum (Ball) Coss.,Papaver,Papaver,https://bs.plantnet.org/image/o/615a6f14967511f0473f87356553d6785a1049f2
Papaver rupifragum Boiss. & Reut.,,,
Goniolimon tataricum (L.) Boiss.,Goniolimon,Goniolimon,https://bs.plantnet.org/image/o/cdf7b2141f1bb3820d56b38288a60ceb6f467567
Adonis aestivalis L.,Adonis,Adonis,https://bs.plantnet.org/image/o/af67b35e40e0f3abafdac6be34fe1107466a11b4
Adonis annua L.,Adonis,Adonis,https://bs.plantnet.org/image/o/d50527be65df53941c8105c200efac9ca1e70bc0
Adonis flammea Jacq.,Adonis,Adonis,https://bs.plantnet.org/image/o/1684dd95266aa4588b164e576073b5449d183c57
Adonis microcarpa DC.,Adonis,Adonis,https://bs.plantnet.org/image/o/79cb642c7f9a601b6d82190e60be0be8d42ec068
Anemone coronaria L.,Anemone,Anemone,https://bs.plantnet.org/image/o/3dc8bf67ee56df1bdda305ecab49e07c0cada055
Anemone palmata L.,Anemone,Anemone,https://bs.plantnet.org/image/o/e4995f0e28934e6a915a9c4c8804328d327d7448
Oldenlandia corymbosa L.,Oldenlandia,Oldenlandia,https://bs.plantnet.org/image/o/d92c7f0885457039cfb24b9014f6e644413edfa3
Hyoscyamus albus L.,Hyoscyamus,Hyoscyamus,https://bs.plantnet.org/image/o/87fb8d46740c4dfdeef248defc294982af5f407f
Hyoscyamus niger L.,Hyoscyamus,Hyoscyamus,https://bs.plantnet.org/image/o/f76a59ad0ae20597cadcd77a96a2bea5c04bf4e9
Daphne gnidium L.,Daphne,Daphne,https://bs.plantnet.org/image/o/4aaf11c5bf233bfa1d1c658ff9f155eb3e1a6f4f
Daphne laureola L.,Daphne,Daphne,https://bs.plantnet.org/image/o/a61fd99386e2489d9038d4ca539fcaf736775003
Daphne oleoides Schreb.,Daphne,Daphne,https://bs.plantnet.org/image/o/ace2869ee600586f58b22ed71c78553d4dfe5357
Berula erecta (Huds.) Coville,Berula,Berula,https://bs.plantnet.org/image/o/597d4d34d8a24b082e814d725acc7c3a197dfb23
Chaerophyllum temulum L.,Chaerophyllum,Chaerophyllum,https://bs.plantnet.org/image/o/9132dc9ca8252a1681f4f6eb3f619cb3123268b5
Daucus muricatus (L.) L.,Daucus,Daucus,https://bs.plantnet.org/image/o/67e9da00c3e2536fb6e335c115e3e58bc73e4a08
Meum athamanticum Jacq.,Meum,Meum,https://bs.plantnet.org/image/o/4c598280612dc1121b0d9e5aeb13771009102b53
Thapsia garganica L.,Thapsia,Thapsia,https://bs.plantnet.org/image/o/72f7e32589f9473482c562c85cfb72df8ad58e42
Thapsia villosa L.,Thapsia,Thapsia,https://bs.plantnet.org/image/o/394c830fd3ac7300763d02f73fe67a60dd677380
Centranthus calcitrapae (L.) Dufr.,,,
Fedia cornucopiae (L.) Gaertn.,,,
Pancratium canariense Ker Gawl.,Pancratium,Pancratium,https://bs.plantnet.org/image/o/5dbb49943146f68b5a94ff674db8e3e223f79d21
Pancratium maritimum L.,Pancratium,Pancratium,https://bs.plantnet.org/image/o/38046ee1063ca0ed0e0e2cd97b384a1e12f4eff2
Anthericum liliago L.,Anthericum,Anthericum,https://bs.plantnet.org/image/o/d5bd34820c13881378f3c824a407f1753f7964cc
Butomus umbellatus L.,Butomus,Butomus,https://bs.plantnet.org/image/o/3b7e2cae73ee62fe47ef03237844008e21227829
Danthonia decumbens (L.) DC.,Danthonia,Danthonia,https://bs.plantnet.org/image/o/f038d3e916d800a1a77444c608c4300249d44efc
Leersia oryzoides (L.) Sw.,Leersia,Leersia,https://bs.plantnet.org/image/o/6ab193dde0ae77e8ce93e2c10deb1dbcba2e6389
Phalaris coerulescens Desf.,Phalaris,Phalaris,https://bs.plantnet.org/image/o/59025575a8554d3210fb7f1eb19d718d98a1c77f
Oncostema elongata (Parl.) Speta,,,
Oncostema peruviana (L.) Speta,,,
Elodea canadensis Michx.,Elodea,Elodea,https://bs.plantnet.org/image/o/fb91509b035240df2a1d97da08a166af09acc61a
Neotinea maculata (Desf.) Stearn,Neotinea,Neotinea,https://bs.plantnet.org/image/o/793ca7ddb24906235eb086898bdfaf354fd3e99f
Ophrys apifera Huds.,Ophrys,Ophrys,https://bs.plantnet.org/image/o/a712bba8cf1b4d10ca61f88d6e578119ca0e9433
Ophrys bombyliflora Link,Ophrys,Ophrys,https://bs.plantnet.org/image/o/3041b8400048424007af36de248631ef30496075
Ophrys fusca Link,Ophrys,Ophrys,https://bs.plantnet.org/image/o/70b1efcec9ba06fd293151b2923328130a0d9fc7
Ophrys lutea Cav.,Ophrys,Ophrys,https://bs.plantnet.org/image/o/c225c673ad4b013c7d02aa7187f859fedad38fff
Ophrys scolopax Cav.,Ophrys,Ophrys,https://bs.plantnet.org/image/o/f4c94ab2b72bc2cb7d49aa1a94bce39bec3b7aef
Ophrys speculum Link,Ophrys,Ophrys,https://bs.plantnet.org/image/o/7579d2076d82ce9dd1c0740d4ce32b0288647a9d
Ophrys tenthredinifera Willd.,Ophrys,Ophrys,https://bs.plantnet.org/image/o/ee05064dc6f3d208ee26a915cd6c07964487809f
Groenlandia densa (L.) Fourr.,Groenlandia,Groenlandia,https://bs.plantnet.org/image/o/a501a920b6a96b23fbb411852eec25444d8647a6
Myosoton aquaticum (L.) Moench,,,
Cirsium palustre (L.) Scop.,Cirsium,Cirsium,https://bs.plantnet.org/image/o/9a4680062190b9b3be07b33b496487f422c3b3b6
Lamium galeobdolon (L.) L.,Lamium,Lamium,https://bs.plantnet.org/image/o/0acc11bd308d97d015ef562d4d6fc8651fc4dffe
Lavandula angustifolia Mill.,Lavandula,Lavandula,https://bs.plantnet.org/image/o/38221de8ec694beef6d0833c2fdf8d842d4753e2
Casuarina cunninghamiana Miq.,Casuarina,Casuarina,https://bs.plantnet.org/image/o/94436fd5b0b51d652ff66e2294b9a10b7d87df65
Trifolium rubens L.,Trifolium,Trifolium,https://bs.plantnet.org/image/o/f1c8d0a93521192576add67659c01942b0517dee
Falcaria vulgaris Bernh.,Falcaria,Falcaria,https://bs.plantnet.org/image/o/7500ca5aea794b2a37b36e7bb140fcb4ecfd06f1
Hypericum triquetrifolium Turra,Hypericum,Hypericum,https://bs.plantnet.org/image/o/125ba194b55c129683c7823ea2b2bea0b475ff67
Wigandia caracasana Kunth,,,
Nymphaea lotus L.,Nymphaea,Nymphaea,https://bs.plantnet.org/image/o/9c4edb676f32cd95a8412f90841d88e414bc938b
Sedum villosum L.,Sedum,Sedum,https://bs.plantnet.org/image/o/23bde7a55f6e44e293a65d968179531b9d5cfd7f
Epipactis helleborine (L.) Crantz,Epipactis,Epipactis,https://bs.plantnet.org/image/o/fba8ad8262cd9d25a1b8633442e599af23d37072
Thesium humifusum DC.,Thesium,Thesium,https://bs.plantnet.org/image/o/2ec44ee83d06186104c93be7ed82095510a0d4ef
Acacia etbaica Schweinf.,,,
Centranthus angustifolius (Mill.) DC.,,,
Centranthus lecoqii Jord.,,,
Sedum anglicum Huds.,Sedum,Sedum,https://bs.plantnet.org/image/o/5e2b8ff9dc529bd97693c8bf136722b963165ca2
Sedum rupestre L.,,,
Ophrys insectifera L.,Ophrys,Ophrys,https://bs.plantnet.org/image/o/426e28cd7c148c94cd04baf6e21e598a2b1b1025
Freesia refracta (Jacq.) Klatt,Freesia,Freesia,https://bs.plantnet.org/image/o/bf19fcc3330c0de81c02fc114d12a12fb2828c34
Diatelia tuberaria (L.) Demoly,,,
Tradescantia pallida (Rose) D.R. Hunt,,,
Cenchrus longispinus (Hack.) Fernald,Cenchrus,Cenchrus,https://bs.plantnet.org/image/o/673c29df794f172758eaddf5cf8e4a660a7151cc
Schefflera actinophylla (Endl.) Harms,Schefflera,Heptapleurum,https://bs.plantnet.org/image/o/34ac3db2006e55cac5e62eb77297d0aa59774de9
Cenchrus clandestinus (Hochst. ex Chiov.) Morrone,Cenchrus,Cenchrus,https://bs.plantnet.org/image/o/97f0d4ec3189f0d95f4d5c93493657e948e6c8bf
Cenchrus purpureus (Schumach.) Morrone,Cenchrus,Cenchrus,https://bs.plantnet.org/image/o/679997783e57ca15a88a43c0b54f9adef73208f5
Cenchrus setaceus (Forssk.) Morrone,Cenchrus,Cenchrus,https://bs.plantnet.org/image/o/dc0b8816aaac6caab298337815302e1c280bb1b0
Anemone hortensis L.,Anemone,Anemone,https://bs.plantnet.org/image/o/301a6870cd1badb4a4a7c7c8303328bd43bc1f77
Tradescantia cerinthoides Kunth,Tradescantia,Tradescantia,https://bs.plantnet.org/image/o/4d2259f73d19dc965411e946eb498539285f9270
Papaver argemone L.,Papaver,Roemeria,https://bs.plantnet.org/image/o/652cbfb1cd98cf41c5eb138167f6a8f2fbfb8cdc
Papaver hybridum L.,Papaver,Roemeria,https://bs.plantnet.org/image/o/a2b34ad48e2d06612a2ebe7f429cd9e0c3ec79f1
Papaver rhoeas L.,Papaver,Papaver,https://bs.plantnet.org/image/o/ce7709b4e7e0b4f420f12b065633e481201b0f42
Papaver dubium L.,Papaver,Papaver,https://bs.plantnet.org/image/o/45ec551deb01fcb77e278c79109da55d44d5a114
Papaver somniferum L.,Papaver,Papaver,https://bs.plantnet.org/image/o/8fb5af8507c07c253f41a8c8821b252f91ea1361
Daucus carota L.,Daucus,Daucus,https://bs.plantnet.org/image/o/6bf814582484fedf2dcd0902dcce3c6b0cc51087
Smilax aspera L.,Smilax,Smilax,https://bs.plantnet.org/image/o/5b411b8ec1622f4c9d92ac6738727a5990edcb89
Aizoon canariense L.,Aizoon,Aizoon,https://bs.plantnet.org/image/o/6ac477f3f8c1953974014c465db328ed17e29aef
Zannichellia palustris L.,,,
Secale cereale L.,Secale,Secale,https://bs.plantnet.org/image/o/5c39108cff368d6dcce98ba4af706ddf7987d041
Cenchrus ciliaris L.,Cenchrus,Cenchrus,https://bs.plantnet.org/image/o/10fcd534b59e4ddba6cf3ff658dc77ad56688fc1
Cenchrus echinatus L.,Cenchrus,Cenchrus,https://bs.plantnet.org/image/o/6085c6f81d5158bf2485294ecf55855803d5a527
Phalaris aquatica L.,Phalaris,Phalaris,https://bs.plantnet.org/image/o/eed51ffe8699ee5e081004c820b7836945b83a36
Phalaris arundinacea L.,Phalaris,Phalaris,https://bs.plantnet.org/image/o/041cad545a337c1a200525e2f5e482fa3975bd8d
Phalaris canariensis L.,Phalaris,Phalaris,https://bs.plantnet.org/image/o/60c5fcc5ae5be4937f9e3bfc59f81f87993c111b
Phalaris minor Retz.,Phalaris,Phalaris,https://bs.plantnet.org/image/o/c0f75b2cd851d162ae1dad6939d6862bba4ce683
Phalaris paradoxa L.,Phalaris,Phalaris,https://bs.plantnet.org/image/o/a7d2d0a8b8bcdba214996e226b0aa0d768c5f848
Sedum hispanicum L.,Sedum,Sedum,https://bs.plantnet.org/image/o/bd85e4bc5031abc95d9d9e092c9783fe8e011d05
Crotalaria juncea L.,Crotalaria,Crotalaria,https://bs.plantnet.org/image/o/a81290e499e371448efd2a3c3efa3fca1c3e1a25
Lupinus angustifolius L.,Lupinus,Lupinus,https://bs.plantnet.org/image/o/1bbd775a3db666c06f904f80fc9f7a44d4837384
Lupinus luteus L.,Lupinus,Lupinus,https://bs.plantnet.org/image/o/de87404fc7d8b091b92fcca2eba562838f053d03
Lupinus pilosus L.,Lupinus,Lupinus,https://bs.plantnet.org/image/o/17e5ed8d06a412489f1c54d27a6aabf8c285b25a
Lupinus albus L.,Lupinus,Lupinus,https://bs.plantnet.org/image/o/d881172ebcf2b3f376f30d801647b487ab4ce033
Trifolium alexandrinum L.,Trifolium,Trifolium,https://bs.plantnet.org/image/o/39394c39c4a48370697b43c8f9bdff9590c5deea
Trifolium dubium Sibth.,Trifolium,Trifolium,https://bs.plantnet.org/image/o/510fc2932c52f8a8c50634ab33e61dfcc96d23b7
Trifolium glomeratum L.,Trifolium,Trifolium,https://bs.plantnet.org/image/o/d1c289120b3ed796898548af3d0190c9fd847917
Trifolium nigrescens Viv.,Trifolium,Trifolium,https://bs.plantnet.org/image/o/022f23e01fbc1bc18d8d4b3b60f786d4c7d7adc5
Trifolium repens L.,Trifolium,Trifolium,https://bs.plantnet.org/image/o/ea56bed60879bb7056ae770df18956247f601798
Dalbergia melanoxylon Guill. & Perr.,Dalbergia,Dalbergia,https://bs.plantnet.org/image/o/a84cdfc0bc0ba7e02e1235b2cc479a8a6c2c24ef
